text,context0,context1,context2,context3
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
How exactly does scientists saying the earth is round give them mind control? That is an incredible leap of logic that really requires some explanation.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
agreed - sometimes it is.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
This is a small price to pay for getting rid of the rats that are a huge menace to the bird population.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,1,0,1,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,1,1,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,1,1,1,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
Maybe liberalism isn't what it's cracked up to be.,1,0,1,0
Maybe liberalism isn't what it's cracked up to be.,1,1,0,0
Maybe liberalism isn't what it's cracked up to be.,0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,1,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,1,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,1,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",1,1,0,0
"I don't know, how has your religious entitlement and self-righteousness served you so far?",0,0,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,0,0,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,0,0,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,0,0,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,1,1,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,0,0,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,0,0,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,1,1,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,0,0,0,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,1,1,1,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,1,1,1,0
Those darn republicans and their jedi mind control tactics. I didn't call you any names... You aren't even making sense anymore...MMMBYYYE,1,0,1,0
